Mês,Precipitação (mm),Temp. Média (°C),Umidade Média (%),Vento Médio (m/s),CASOS CONFIRMADOS DENGUE
Janeiro,307.2,23.14,71.29,1.95,8.437
Fevereiro,200.4,23.74,71.42,1.61,38634
Março,270.2,23.6,73.15,1.71,137792
Abril,17.2,22.91,68.16,1.56,198641
Maio,65.2,21.68,62.88,1.49,180711
Junho,0.6,20.07,58.85,1.16,41509
Julho,66.4,17.6,68.1,1.15,8085
Agosto,55.6,18.94,55.31,1.41,2576
Setembro,15.4,22.68,54.82,1.59,1706
Outubro,173.8,20.77,71.07,2.11,1127
Novembro,125.4,21.67,70.37,1.89,975
Dezembro,226.4,22.69,72.55,2.01,1062
